Gene	sgRNA	eff
MTMR8	MTMR8_+_63615257.23-P1P2	1
MTMR8	MTMR8_+_63615291.23-P1P2	1
MTMR8	MTMR8_-_63614850.23-P1P2	1
MTMR9	MTMR9_+_11142057.23-P1P2	1
MTMR9	MTMR9_+_11142322.23-P1P2	1
MTMR9	MTMR9_+_11142357.23-P1P2	1
MTMR9	MTMR9_-_11142001.23-P1P2	1
MTMR9	MTMR9_-_11142092.23-P1P2	1
MTNR1A	MTNR1A_+_187476277.23-P1P2	1
MTNR1A	MTNR1A_+_187476511.23-P1P2	1
MTNR1A	MTNR1A_-_187476145.23-P1P2	1
MTNR1B	MTNR1B_+_92703042.23-P1P2	1
MTNR1B	MTNR1B_+_92703045.23-P1P2	1
MTNR1B	MTNR1B_+_92703076.23-P1P2	1
MTNR1B	MTNR1B_-_92702681.23-P1P2	1
MTOR	MTOR_-_11322168.23-P1P2	1
MTRR	MTRR_+_7869735.23-P1P2	1
MTRR	MTRR_-_7869343.23-P1P2	1
MTRR	MTRR_-_7869349.23-P1P2	1
MTR	MTR_+_236958639.23-P1P2	1
MTR	MTR_-_236958613.23-P1P2	1
MTR	MTR_-_236958736.23-P1P2	1
MTR	MTR_-_236958874.23-P1P2	1
MTTP	MTTP_+_100496358.23-P1P2	1
MTTP	MTTP_+_100496427.23-P1P2	1
MTTP	MTTP_-_100495992.23-P1P2	1
MTTP	MTTP_-_100496052.23-P1P2	1
MUC2	MUC2_+_1074918.23-P1P2	1
MUC2	MUC2_+_1075112.23-P1P2	1
MUC2	MUC2_-_1074928.23-P1P2	1
MUC2	MUC2_-_1075285.23-P1P2	1
MURC	MURC_+_103340546.23-P1P2	1
MURC	MURC_-_103340673.23-P1P2	1
MURC	MURC_-_103340746.23-P1P2	1
MUSK	MUSK_-_113431402.23-P1P2	1
MUT	MUT_+_49430502.23-P1P2	1
MUT	MUT_+_49430923.23-P1P2	1
MUT	MUT_-_49430521.23-P1P2	1
MUT	MUT_-_49430970.23-P1P2	1
MVK	MVK_+_110011102.23-P1P2	1
MVK	MVK_-_110011093.23-P1P2	1
MYH14	MYH14_+_50706905.23-P1P2	1
MYH14	MYH14_+_50707141.23-P1P2	1
MYH14	MYH14_-_50707313.23-P1P2	1
MYH14	MYH14_-_50707336.23-P1P2	1
MYH7	MYH7_+_23894054.23-P2	1
MYH7	MYH7_+_23894573.23-P2	1
MYH7	MYH7_+_23904465.23-P1	1
MYH7	MYH7_+_23904652.23-P1	1
MYH7	MYH7_-_23894538.23-P2	1
MYH7	MYH7_-_23894544.23-P2	1
MYH7	MYH7_-_23904408.23-P1	1
MYL12A	MYL12A_+_3247938.23-P1	1
MYL12A	MYL12A_-_3247860.23-P1	1
MYL12A	MYL12A_-_3247880.23-P1	1
MYL12A	MYL12A_-_3247977.23-P1	1
MYL12A	MYL12A_-_3252328.23-P2	1
MYL6B	MYL6B_-_56546414.23-P1P2	1
MYL6B	MYL6B_-_56546429.23-P1P2	1
MYL6B	MYL6B_-_56546797.23-P1P2	1
MYL6B	MYL6B_-_56546806.23-P1P2	1
MYLK2	MYLK2_+_30407165.23-P1P2	1
MYLK2	MYLK2_-_30407515.23-P1P2	1
MYLK3	MYLK3_+_46781792.23-P1	1
MYLK3	MYLK3_+_46782235.23-P1	1
MYLK3	MYLK3_-_46781779.23-P1	1
MYLK3	MYLK3_-_46782222.23-P1	1
MYLK3	MYLK3_-_46797079.23-P2	1
MYLK3	MYLK3_-_46797172.23-P2	1
MYLK4	MYLK4_+_2751126.23-P1P2	1
MYLK4	MYLK4_-_2750927.23-P1P2	1
MYLK	MYLK_+_123512423.23-ENST00000475616.1	1
MYLK	MYLK_+_123512803.23-ENST00000475616.1	1
MYLK	MYLK_+_123602889.23-ENST00000360304.3	1
MYLK	MYLK_+_123602897.23-ENST00000360304.3	1
MYLK	MYLK_+_123602990.23-ENST00000360304.3	1
MYLK	MYLK_-_123512455.23-ENST00000475616.1	1
MYLK	MYLK_-_123602882.23-ENST00000360304.3	1
MYO1D	MYO1D_-_31204146.23-P1P2	1
MYO1D	MYO1D_-_31204163.23-P1P2	1
MYO1D	MYO1D_-_31204169.23-P1P2	1
MYO1D	MYO1D_-_31204175.23-P1P2	1
MYO3A	MYO3A_+_26223140.23-P1P2	1
MYO3A	MYO3A_-_26223234.23-P1P2	1
MYO3A	MYO3A_-_26223545.23-P1P2	1
MYO3B	MYO3B_-_171034650.23-P1P2	1
MYO3B	MYO3B_-_171034919.23-P1P2	1
NADK	NADK_+_1709820.23-P1	1
NADK	NADK_+_1709845.23-P1	1
NADK	NADK_+_1709876.23-P1	1
NADK	NADK_-_1709434.23-P1	1
NADK	NADK_-_1711485.23-P2	1
NADSYN1	NADSYN1_+_71164275.23-P1P2	1
NADSYN1	NADSYN1_+_71164322.23-P1P2	1
NADSYN1	NADSYN1_+_71164518.23-P1P2	1
NADSYN1	NADSYN1_-_71164648.23-P1P2	1
NAGA	NAGA_+_42466751.23-P1P2	1
NAGA	NAGA_+_42466765.23-P1P2	1
NAGA	NAGA_+_42466783.23-P1P2	1
NAGA	NAGA_+_42466786.23-P1P2	1
NAGA	NAGA_-_42466629.23-P1P2	1
NAGK	NAGK_-_71295802.23-P1P2	1
NAGK	NAGK_-_71295832.23-P1P2	1
NAGLU	NAGLU_+_40688309.23-P1P2	1
NAGLU	NAGLU_+_40688325.23-P1P2	1
NAGLU	NAGLU_+_40688676.23-P1P2	1
NAGLU	NAGLU_+_40689018.23-P1P2	1
NAGLU	NAGLU_-_40688749.23-P1P2	1
NAGPA	NAGPA_-_5083759.23-P1P2	1
NAGPA	NAGPA_-_5083882.23-P1P2	1
NAGPA	NAGPA_-_5083904.23-P1P2	1
NAGPA	NAGPA_-_5083907.23-P1P2	1
NAGS	NAGS_+_42081968.23-P1	1
NAGS	NAGS_+_42081999.23-P1	1
NAGS	NAGS_+_42082378.23-P1	1
NAGS	NAGS_+_42082393.23-P1	1
NAGS	NAGS_+_42083466.23-P2	1
NAGS	NAGS_-_42083396.23-P2	1
NAGS	NAGS_-_42083399.23-P2	1
NAGS	NAGS_-_42083433.23-P2	1
NAGS	NAGS_-_42083447.23-P2	1
NAPB	NAPB_+_23402063.23-P1P2	1
NAPB	NAPB_-_23401600.23-P1P2	1
NARS2	NARS2_+_78285660.23-P1P2	1
NARS2	NARS2_+_78285829.23-P1P2	1
NARS2	NARS2_-_78285456.23-P1P2	1
NARS	NARS_+_55288934.23-P1P2	1
NARS	NARS_-_55288674.23-P1P2	1
NCAN	NCAN_+_19323007.23-P1P2	1
NCAN	NCAN_-_19322814.23-P1P2	1
NCAN	NCAN_-_19323235.23-P1P2	1
NCOA5	NCOA5_+_44718511.23-P1P2	1
NCOA5	NCOA5_+_44718514.23-P1P2	1
NCOA5	NCOA5_-_44718548.23-P1P2	1
NCOA5	NCOA5_-_44718565.23-P1P2	1
NDST1	NDST1_+_149865942.23-P1P2	1
NDST1	NDST1_-_149865520.23-P1P2	1
NDST1	NDST1_-_149865528.23-P1P2	1
NDST1	NDST1_-_149865550.23-P1P2	1
NDST1	NDST1_-_149865566.23-P1P2	1
NDUFA10	NDUFA10_-_240964703.23-P1P2	1
NDUFA11	NDUFA11_+_5903375.23-P1P2	1
NDUFA11	NDUFA11_+_5903777.23-P1P2	1
NDUFA11	NDUFA11_-_5903392.23-P1P2	1
NDUFA11	NDUFA11_-_5903762.23-P1P2	1
NDUFA12	NDUFA12_+_95397403.23-P1P2	1
NDUFA12	NDUFA12_+_95397515.23-P1P2	1
NDUFA12	NDUFA12_-_95397049.23-P1P2	1
NDUFA4L2	NDUFA4L2_+_57630847.23-P1P2	1
NDUFA4L2	NDUFA4L2_+_57630864.23-P1P2	1
NDUFA4L2	NDUFA4L2_-_57630857.23-P1P2	1
NDUFA5	NDUFA5_+_123197681.23-P1P2	1
NDUFA5	NDUFA5_-_123197867.23-P1P2	1
NDUFA6	NDUFA6_-_42486693.23-P1P2	1
NDUFA7	NDUFA7_-_8386227.23-P1P2	1
NDUFA8	NDUFA8_+_124922020.23-P1P2	1
NDUFAB1	NDUFAB1_+_23607618.23-P1P2	1
NDUFB1	NDUFB1_+_92587991.23-P1P2	1
NDUFB3	NDUFB3_-_201937061.23-P1P2	1
NDUFB4	NDUFB4_+_120315227.23-P1P2	1
NDUFB4	NDUFB4_+_120315547.23-P1P2	1
NDUFB4	NDUFB4_-_120315417.23-P1P2	1
NDUFB5	NDUFB5_+_179322591.23-P1P2	1
NDUFB5	NDUFB5_-_179323021.23-P1P2	1
NDUFB6	NDUFB6_+_32573050.23-P1P2	1
NDUFB9	NDUFB9_+_125551368.23-P1P2	1
NDUFC1	NDUFC1_+_140223231.23-P2	1
NDUFC1	NDUFC1_+_140223568.23-P2	1
NDUFC1	NDUFC1_-_140216734.23-P1	1
NDUFC1	NDUFC1_-_140216941.23-P1	1
NDUFC2	NDUFC2_-_77790873.23-P1P2	1
NDUFS2	NDUFS2_+_161172138.23-P1P2	1
NDUFS2	NDUFS2_-_161171911.23-P1P2	1
NDUFS3	NDUFS3_+_47600835.23-P1P2	1
NDUFS3	NDUFS3_-_47600652.23-P1P2	1
NDUFS3	NDUFS3_-_47600655.23-P1P2	1
NDUFS4	NDUFS4_+_52856445.23-P1P2	1
NDUFS4	NDUFS4_+_52856689.23-P1P2	1
NDUFS4	NDUFS4_-_52856474.23-P1P2	1
NDUFS4	NDUFS4_-_52856498.23-P1P2	1
NDUFS4	NDUFS4_-_52856546.23-P1P2	1
NDUFS5	NDUFS5_+_39494729.23-P2	1
NDUFS5	NDUFS5_-_39492036.23-P1	1
NDUFS5	NDUFS5_-_39492080.23-P1	1
NDUFS5	NDUFS5_-_39495011.23-P2	1
NDUFS6	NDUFS6_+_1801594.23-P1P2	1
NDUFS6	NDUFS6_+_1801700.23-P1P2	1
NDUFS8	NDUFS8_+_67798148.23-P1P2	1
NDUFS8	NDUFS8_+_67798556.23-P1P2	1
NDUFS8	NDUFS8_-_67798204.23-P1P2	1
NDUFV1	NDUFV1_+_67374457.23-P1	1
NDUFV1	NDUFV1_+_67374470.23-P1	1
NDUFV1	NDUFV1_-_67377965.23-P2	1
NDUFV1	NDUFV1_-_67378002.23-P2	1
NDUFV1	NDUFV1_-_67378165.23-P2	1
NDUFV1	NDUFV1_-_67378183.23-P2	1
NDUFV3	NDUFV3_+_44313428.23-P1P2	1
NDUFV3	NDUFV3_+_44313438.23-P1P2	1
NDUFV3	NDUFV3_+_44313450.23-P1P2	1
NDUFV3	NDUFV3_+_44313839.23-P1P2	1
NDUFV3	NDUFV3_-_44313446.23-P1P2	1
NEDD8-MDP1	NEDD8-MDP1_+_24701278.23-P1P2	1
NEDD8-MDP1	NEDD8-MDP1_+_24701319.23-P1P2	1
NEK10	NEK10_+_27410827.23-P1P2	1
NEK10	NEK10_+_27410847.23-P1P2	1
NEK10	NEK10_+_27410855.23-P1P2	1
NEK10	NEK10_-_27410887.23-P1P2	1
NEK11	NEK11_+_130745741.23-P1P2	1
NEK11	NEK11_+_130745773.23-P1P2	1
NEK11	NEK11_+_130745791.23-P1P2	1
NEK11	NEK11_-_130745769.23-P1P2	1
NEK1	NEK1_+_170533409.23-P1P2	1
NEK1	NEK1_-_170533710.23-P1P2	1
NEK2	NEK2_+_211848564.23-P1P2	1
NEK2	NEK2_+_211848955.23-P1P2	1
NEK2	NEK2_-_211848697.23-P1P2	1
NEK2	NEK2_-_211848902.23-P1P2	1
NEK3	NEK3_+_52733699.23-P1P2	1
NEK3	NEK3_-_52733662.23-P1P2	1
NEK4	NEK4_+_52804921.23-P1P2	1
NEK4	NEK4_+_52804927.23-P1P2	1
NEK4	NEK4_-_52804518.23-P1P2	1
NEK4	NEK4_-_52804941.23-P1P2	1
NEK5	NEK5_+_52702988.23-P1P2	1
NEK5	NEK5_-_52702784.23-P1P2	1
NEK5	NEK5_-_52703145.23-P1P2	1
NEK6	NEK6_-_127020292.23-P1P2	1
NEK6	NEK6_-_127020340.23-P1P2	1
NEK6	NEK6_-_127020629.23-P1P2	1
NEK7	NEK7_+_198126185.23-P1P2	1
NEK7	NEK7_-_198126181.23-P1P2	1
NEK7	NEK7_-_198126230.23-P1P2	1
NEK8	NEK8_+_27055871.23-P1P2	1
NEK8	NEK8_-_27055858.23-P1P2	1
NEK9	NEK9_+_75593513.23-P1P2	1
NEK9	NEK9_+_75593688.23-P1P2	1
NEK9	NEK9_-_75593381.23-P1P2	1
NEK9	NEK9_-_75593752.23-P1P2	1
NEU1	NEU1_+_31830543.23-P1P2	1
NEU1	NEU1_-_31830181.23-P1P2	1
NEU2	NEU2_+_233897436.23-ENST00000233840.3	1
NEU2	NEU2_+_233897622.23-ENST00000233840.3	1
NFS1	NFS1_-_34287137.23-P1P2	1
NGB	NGB_+_77737046.23-P1P2	1
NGB	NGB_+_77737479.23-P1P2	1
NGB	NGB_+_77737500.23-P1P2	1
NGB	NGB_-_77737470.23-P1P2	1
NGB	NGB_-_77737473.23-P1P2	1
NGF	NGF_+_115880788.23-P1P2	1
NGF	NGF_+_115880835.23-P1P2	1
NGF	NGF_-_115880803.23-P1P2	1
NID1	NID1_+_236228134.23-P1P2	1
NID1	NID1_+_236228351.23-P1P2	1
NID1	NID1_+_236228372.23-P1P2	1
NIM1	NIM1_+_43192347.23-P1P2	1
NIM1	NIM1_+_43192363.23-P1P2	1
NIM1	NIM1_+_43192800.23-P1P2	1
NIM1	NIM1_+_43192818.23-P1P2	1
NIM1	NIM1_-_43192399.23-P1P2	1
NISCH	NISCH_+_52490060.23-P1P2	1
NISCH	NISCH_+_52490104.23-P1P2	1
NISCH	NISCH_-_52489660.23-P1P2	1
NISCH	NISCH_-_52490054.23-P1P2	1
NLK	NLK_+_26369181.23-P1P2	1
NLK	NLK_-_26368790.23-P1P2	1
NME1	NME1_+_49231214.23-P1	1
NME1	NME1_+_49233013.23-P2	1
NME1	NME1_+_49233051.23-P2	1
NME1	NME1_-_49230967.23-P1	1
NME1	NME1_-_49231401.23-P1	1
NME2	NME2_+_49243878.23-P1P2	1
NME2	NME2_+_49244167.23-P1P2	1
NME3	NME3_-_1821109.23-P1P2	1
NME3	NME3_-_1821455.23-P1P2	1
NME3	NME3_-_1821526.23-P1P2	1
NME4	NME4_+_447230.23-P1P2	1
NME4	NME4_-_447229.23-P1P2	1
NME5	NME5_+_137475058.23-P1P2	1
NME6	NME6_+_48342664.23-P1P2	1
NME6	NME6_+_48342808.23-P1P2	1
NME6	NME6_-_48342835.23-P1P2	1
NME7	NME7_+_169337005.23-P1P2	1
NME7	NME7_+_169337011.23-P1P2	1
NME7	NME7_-_169336814.23-P1P2	1
NME7	NME7_-_169336977.23-P1P2	1
NMNAT1	NMNAT1_-_10003551.23-P1P2	1
NMNAT1	NMNAT1_-_10003568.23-P1P2	1
NMNAT3	NMNAT3_+_139396422.23-P1P2	1
NMNAT3	NMNAT3_+_139396785.23-P1P2	1
NMNAT3	NMNAT3_+_139396837.23-P1P2	1
NMNAT3	NMNAT3_-_139396409.23-P1P2	1
NMRAL1	NMRAL1_+_4524548.23-P1P2	1
NMRAL1	NMRAL1_+_4524565.23-P1P2	1
NMT1	NMT1_+_43138745.23-P1P2	1
NMT1	NMT1_-_43138762.23-P1P2	1
NMT2	NMT2_+_15210668.23-P1P2	1
NMT2	NMT2_+_15210678.23-P1P2	1
NMT2	NMT2_+_15210685.23-P1P2	1
NMT2	NMT2_-_15210363.23-P1P2	1
NMT2	NMT2_-_15210618.23-P1P2	1
NNMT	NNMT_-_114167169.23-P1P2	1
NNT	NNT_+_43603323.23-P1P2	1
NNT	NNT_-_43603363.23-P1P2	1
NNT	NNT_-_43603694.23-P1P2	1
NOXO1	NOXO1_+_2031074.23-P1P2	1
NOXO1	NOXO1_+_2031366.23-P1P2	1
NOXO1	NOXO1_-_2031380.23-P1P2	1
NOXO1	NOXO1_-_2031478.23-P1P2	1
NPC1L1	NPC1L1_+_44580454.23-P1P2	1
NPC1L1	NPC1L1_+_44580506.23-P1P2	1
NPPB	NPPB_+_11918956.23-P1P2	1
NPPB	NPPB_+_11918983.23-P1P2	1
NPPB	NPPB_-_11918541.23-P1P2	1
NPR1	NPR1_+_153651128.23-P1P2	1
NPR1	NPR1_+_153651152.23-P1P2	1
NPR1	NPR1_-_153651551.23-P1P2	1
NPR2	NPR2_+_35792161.23-P1P2	1
NPR2	NPR2_-_35791781.23-P1P2	1
NPR3	NPR3_+_32710803.23-P1P2	1
NPR3	NPR3_-_32711848.23-P1P2	1
NPSR1	NPSR1_+_34697864.23-P1P2	1
NPSR1	NPSR1_+_34697917.23-P1P2	1
NPSR1	NPSR1_-_34697842.23-P1P2	1
NPY2R	NPY2R_+_156130027.23-P1P2	1
NPY2R	NPY2R_+_156130030.23-P1P2	1
NPY2R	NPY2R_-_156129798.23-P1P2	1
NQO1	NQO1_+_69760261.23-P1	1
NQO1	NQO1_-_69760452.23-P1	1
NQO1	NQO1_-_69760700.23-P1	1
NQO2	NQO2_+_3000154.23-P1P2	1
NQO2	NQO2_-_3000174.23-P1P2	1
NR1H2	NR1H2_-_50879745.23-P1P2	1
NR1H2	NR1H2_-_50879791.23-P1P2	1
NR1H3	NR1H3_+_47270872.23-P2	1
NR1H3	NR1H3_+_47270902.23-P2	1
NR1H3	NR1H3_+_47279581.23-P1	1
NR1H3	NR1H3_+_47279647.23-P1	1
NR1H3	NR1H3_-_47270499.23-P2	1
NR1H3	NR1H3_-_47279596.23-P1	1
NR1H4	NR1H4_+_100867652.23-P1P2	1
NR1H4	NR1H4_+_100867696.23-P1P2	1
NR1H4	NR1H4_+_100867707.23-P1P2	1
NR1H4	NR1H4_-_100868114.23-P1P2	1
NR1I2	NR1I2_-_119501113.23-P1P2	1
NR3C2	NR3C2_+_149363300.23-P1P2	1
NR3C2	NR3C2_+_149363470.23-P1P2	1
NR3C2	NR3C2_+_149363506.23-P1P2	1
NR3C2	NR3C2_-_149363071.23-P1P2	1
NR3C2	NR3C2_-_149363475.23-P1P2	1
NRBP1	NRBP1_-_27651509.23-P1P2	1
NRBP1	NRBP1_-_27651543.23-P1P2	1
NRBP1	NRBP1_-_27651598.23-P1P2	1
NRBP1	NRBP1_-_27651960.23-P1P2	1
NRBP2	NRBP2_+_144922902.23-P1P2	1
NRBP2	NRBP2_+_144923092.23-P1P2	1
NRBP2	NRBP2_-_144923112.23-P1P2	1
NRGN	NRGN_+_124610223.23-P1P2	1
NRGN	NRGN_-_124610249.23-P1P2	1
NRIP1	NRIP1_+_16437286.23-P1P2	1
NRIP1	NRIP1_+_16437289.23-P1P2	1
NRIP1	NRIP1_-_16436888.23-P1P2	1
NRIP1	NRIP1_-_16436902.23-P1P2	1
NRK	NRK_+_105066557.23-P1P2	1
NRK	NRK_+_105066577.23-P1P2	1
NRK	NRK_-_105066529.23-P1P2	1
NRK	NRK_-_105066962.23-P1P2	1
NSDHL	NSDHL_+_151999635.23-P1P2	1
NSDHL	NSDHL_+_151999679.23-P1P2	1
NSDHL	NSDHL_+_151999973.23-P1P2	1
NSF	NSF_+_44668460.23-ENST00000398238.4	1
NSF	NSF_-_44668057.23-ENST00000398238.4	1
NT5C2	NT5C2_+_104953005.23-P1P2	1
NT5C2	NT5C2_+_104953030.23-P1P2	1
NT5C2	NT5C2_-_104952994.23-P1P2	1
NT5C	NT5C_+_73127807.23-P1P2	1
NT5C	NT5C_-_73127350.23-P1P2	1
NT5C	NT5C_-_73127430.23-P1P2	1
NT5C	NT5C_-_73127464.23-P1P2	1
NT5M	NT5M_+_17206657.23-P1P2	1
NT5M	NT5M_+_17206695.23-P1P2	1
NT5M	NT5M_+_17207056.23-P1P2	1
NTRK1	NTRK1_+_156830696.23-P1P2	1
NTRK1	NTRK1_+_156831077.23-P1P2	1
NTRK1	NTRK1_-_156830714.23-P1P2	1
NTRK2	NTRK2_-_87284745.23-P1P2	1
NTRK2	NTRK2_-_87284924.23-P1P2	1
NTRK2	NTRK2_-_87285096.23-P1P2	1
NTRK2	NTRK2_-_87285108.23-P1P2	1
NTRK3	NTRK3_+_88799513.23-P1P2	1
NTRK3	NTRK3_+_88799925.23-P1P2	1
NTRK3	NTRK3_+_88799928.23-P1P2	1
NTRK3	NTRK3_-_88799682.23-P1P2	1
NTRK3	NTRK3_-_88799744.23-P1P2	1
NTSR2	NTSR2_+_11809888.23-P1P2	1
NTSR2	NTSR2_+_11810276.23-P1P2	1
NTSR2	NTSR2_+_11810280.23-P1P2	1
NTSR2	NTSR2_+_11810291.23-P1P2	1
NTSR2	NTSR2_+_11810311.23-P1P2	1
NUAK1	NUAK1_+_106532511.23-P1P2	1
NUAK1	NUAK1_-_106532463.23-P1P2	1
NUAK1	NUAK1_-_106532681.23-P1P2	1
NUAK2	NUAK2_+_205290460.23-P1P2	1
NUAK2	NUAK2_+_205290502.23-P1P2	1
NUAK2	NUAK2_-_205290787.23-P1P2	1
NUAK2	NUAK2_-_205290797.23-P1P2	1
NUAK2	NUAK2_-_205290848.23-P1P2	1
NUCKS1	NUCKS1_+_205718662.23-P1P2	1
NUCKS1	NUCKS1_-_205718947.23-P1P2	1
NUCKS1	NUCKS1_-_205718968.23-P1P2	1
NUCKS1	NUCKS1_-_205719091.23-P1P2	1
NUDT9	NUDT9_+_88344115.23-P1P2	1
NUDT9	NUDT9_+_88344169.23-P1P2	1
NUDT9	NUDT9_-_88343937.23-P1P2	1
OAS1	OAS1_+_113344981.23-P1P2	1
OAS1	OAS1_+_113345251.23-P1P2	1
OAS1	OAS1_-_113344811.23-P1P2	1
OAS1	OAS1_-_113345024.23-P1P2	1
OAT	OAT_-_126107437.23-P1P2	1
OAT	OAT_-_126107465.23-P1P2	1
OAZ2	OAZ2_+_64995355.23-P1P2	1
OAZ2	OAZ2_+_64995379.23-P1P2	1
OAZ2	OAZ2_+_64995382.23-P1P2	1
OAZ2	OAZ2_-_64995364.23-P1P2	1
OAZ3	OAZ3_+_151735582.23-P2	1
OAZ3	OAZ3_+_151735606.23-P2	1
OAZ3	OAZ3_+_151736018.23-P2	1
OBSCN	OBSCN_+_228396139.23-P1P2	1
OBSCN	OBSCN_-_228395757.23-P1P2	1
OBSCN	OBSCN_-_228395769.23-P1P2	1
ODC1	ODC1_+_10588457.23-P1P2	1
ODC1	ODC1_-_10588446.23-P1P2	1
OGDH	OGDH_+_44646202.23-P1P2	1
OGDH	OGDH_+_44646274.23-P1P2	1
OGDH	OGDH_+_44646669.23-P1P2	1
OGDH	OGDH_-_44646234.23-P1P2	1
OGFOD1	OGFOD1_-_56485446.23-P1P2	1
OGFOD2	OGFOD2_+_123459816.23-P1P2	1
OGFOD2	OGFOD2_+_123459830.23-P1P2	1
OGFOD2	OGFOD2_-_123459788.23-P1P2	1
OPLAH	OPLAH_+_145115186.23-P1P2	1
OPLAH	OPLAH_-_145115237.23-P1P2	1
OPLAH	OPLAH_-_145115430.23-P1P2	1
OPLAH	OPLAH_-_145115571.23-P1P2	1
OPRD1	OPRD1_-_29138705.23-P1P2	1
OPRD1	OPRD1_-_29138771.23-P1P2	1
OPRK1	OPRK1_+_54163871.23-P1P2	1
OPRK1	OPRK1_+_54164165.23-P1P2	1
OPRK1	OPRK1_-_54163744.23-P1P2	1
OPRK1	OPRK1_-_54163761.23-P1P2	1
OPRL1	OPRL1_+_62711508.23-P2	1
OPRL1	OPRL1_+_62723328.23-P1	1
OPRL1	OPRL1_+_62723384.23-P1	1
OPRL1	OPRL1_+_62723396.23-P1	1
OPRL1	OPRL1_-_62711474.23-P2	1
OPRL1	OPRL1_-_62711505.23-P2	1
OPRL1	OPRL1_-_62711551.23-P2	1
OPRL1	OPRL1_-_62723358.23-P1	1
OPRM1	OPRM1_+_154360695.23-P1P2	1
OPRM1	OPRM1_+_154360725.23-P1P2	1
OTC	OTC_+_38211884.23-P1P2	1
OTC	OTC_-_38211916.23-P1P2	1
OTC	OTC_-_38212240.23-P1P2	1
OXCT1	OXCT1_+_41870456.23-P1P2	1
OXCT1	OXCT1_-_41870437.23-P1P2	1
OXCT1	OXCT1_-_41870442.23-P1P2	1
OXCT1	OXCT1_-_41870469.23-P1P2	1
OXCT2	OXCT2_+_40236920.23-P1P2	1
OXCT2	OXCT2_+_40236923.23-P1P2	1
OXCT2	OXCT2_+_40236946.23-P1P2	1
OXCT2	OXCT2_-_40236821.23-P1P2	1
OXCT2	OXCT2_-_40236932.23-P1P2	1
OXSR1	OXSR1_+_38207141.23-P1P2	1
OXSR1	OXSR1_+_38207359.23-P1P2	1
OXSR1	OXSR1_+_38207391.23-P1P2	1
OXTR	OXTR_+_8811070.23-P1P2	1
OXTR	OXTR_-_8811226.23-P1P2	1
OXTR	OXTR_-_8811257.23-P1P2	1
OXT	OXT_+_3052263.23-P1P2	1
OXT	OXT_+_3052315.23-P1P2	1
OXT	OXT_+_3052375.23-P1P2	1
OXT	OXT_-_3052304.23-P1P2	1
P2RY2	P2RY2_+_72929373.23-P1P2	1
P2RY2	P2RY2_+_72929718.23-P1P2	1
P2RY2	P2RY2_-_72929731.23-P1P2	1
P4HA1	P4HA1_-_74856579.23-P1P2	1
P4HA2	P4HA2_+_131563481.23-P1P2	1
P4HA2	P4HA2_-_131563166.23-P1P2	1
P4HA2	P4HA2_-_131563299.23-P1P2	1
P4HA2	P4HA2_-_131563457.23-P1P2	1
P4HB	P4HB_-_79818357.23-P1P2	1
P4HB	P4HB_-_79818367.23-P1P2	1
P4HB	P4HB_-_79818400.23-P1P2	1
P4HTM	P4HTM_+_49028008.23-P1P2	1
P4HTM	P4HTM_-_49027734.23-P1P2	1
PACSIN1	PACSIN1_+_34433900.23-P1	1
PACSIN1	PACSIN1_+_34434040.23-P1	1
PACSIN1	PACSIN1_+_34482690.23-P2	1
PACSIN1	PACSIN1_+_34482830.23-P2	1
PACSIN1	PACSIN1_+_34483075.23-P2	1
PACSIN1	PACSIN1_-_34433932.23-P1	1
PACSIN2	PACSIN2_+_43411093.23-P1P2	1
PACSIN2	PACSIN2_+_43411099.23-P1P2	1
PACSIN2	PACSIN2_+_43411127.23-P1P2	1
PACSIN2	PACSIN2_-_43410906.23-P1P2	1
PACSIN3	PACSIN3_+_47207214.23-P1P2	1
PACSIN3	PACSIN3_+_47207948.23-P1P2	1
PACSIN3	PACSIN3_-_47207369.23-P1P2	1
PACSIN3	PACSIN3_-_47207543.23-P1P2	1
PACSIN3	PACSIN3_-_47207924.23-P1P2	1
PADI1	PADI1_+_17531653.23-P1P2	1
PADI1	PADI1_-_17531692.23-P1P2	1
PADI3	PADI3_+_17575671.23-P1P2	1
PADI3	PADI3_-_17575589.23-P1P2	1
PADI3	PADI3_-_17576004.23-P1P2	1
PADI4	PADI4_+_17634710.23-P1P2	1
PADI4	PADI4_-_17634720.23-P1P2	1
PADI4	PADI4_-_17634727.23-P1P2	1
PADI4	PADI4_-_17635159.23-P1P2	1
PADI6	PADI6_+_17698733.23-P1P2	1
PADI6	PADI6_+_17699050.23-P1P2	1
PADI6	PADI6_-_17698752.23-P1P2	1
PAEP	PAEP_+_138454049.23-P1P2	1
PAEP	PAEP_+_138454054.23-P1P2	1
PAEP	PAEP_-_138453613.23-P1P2	1
PAH	PAH_+_103310646.23-P1P2	1
PAH	PAH_-_103310962.23-P1P2	1
PAH	PAH_-_103310982.23-P1P2	1
PAH	PAH_-_103311030.23-P1P2	1
PAICS	PAICS_+_57302814.23-P1P2	1
PAICS	PAICS_-_57302494.23-P1P2	1
PAICS	PAICS_-_57302506.23-P1P2	1
PAK1	PAK1_+_77184442.23-ENST00000356341.3	1
PAK1	PAK1_-_77184783.23-ENST00000356341.3	1
PAK1	PAK1_-_77184851.23-ENST00000356341.3	1
PAK1	PAK1_-_77184913.23-ENST00000356341.3	1
PAK2	PAK2_+_196466826.23-P1P2	1
